iter	Passed	Remaining
0	147	147794
1	148	74242
2	149	49647
3	149	37339
4	150	29960
5	151	25039
6	151	21520
7	152	18907
8	153	16871
9	153	15243
10	154	13905
11	155	12799
12	156	11863
13	156	11047
14	157	10339
15	158	9719
16	158	9172
17	159	8683
18	159	8247
19	160	7854
20	160	7498
21	161	7176
22	161	6881
23	162	6610
24	163	6361
25	163	6131
26	164	5919
27	164	5722
28	165	5538
29	166	5370
30	166	5212
31	167	5061
32	167	4919
33	168	4787
34	169	4660
35	169	4541
36	170	4431
37	170	4325
38	171	4223
39	172	4128
40	172	4035
41	173	3948
42	173	3865
43	174	3786
44	174	3710
45	175	3637
46	175	3568
47	176	3501
48	177	3437
49	177	3375
50	178	3316
51	178	3259
52	179	3205
53	180	3153
54	180	3102
55	181	3053
56	181	3006
57	182	2960
58	182	2916
59	183	2873
60	183	2831
61	184	2791
62	185	2752
63	185	2714
64	186	2678
65	186	2642
66	187	2608
67	187	2575
68	188	2543
69	189	2511
70	189	2480
71	190	2450
72	190	2421
73	191	2392
74	191	2365
75	192	2338
76	193	2314
77	193	2289
78	194	2264
79	194	2240
80	195	2217
81	195	2194
82	196	2169
83	196	2147
84	197	2126
85	198	2105
86	198	2084
87	199	2065
88	199	2045
89	200	2026
90	201	2008
91	201	1989
92	202	1972
93	202	1954
94	203	1937
95	203	1920
96	204	1903
97	205	1887
98	205	1871
99	206	1858
100	207	1843
101	207	1829
102	208	1814
103	208	1799
104	209	1785
105	210	1772
106	210	1758
107	211	1745
108	211	1731
109	212	1719
110	213	1706
111	213	1693
112	214	1681
113	214	1669
114	215	1658
115	216	1646
116	216	1634
117	217	1623
118	217	1612
119	218	1601
120	218	1590
121	219	1579
122	220	1568
123	220	1559
124	221	1549
125	221	1539
126	222	1529
127	223	1520
128	223	1510
129	224	1501
130	225	1492
131	225	1484
132	226	1475
133	226	1466
134	227	1457
135	228	1449
136	228	1440
137	229	1432
138	229	1424
139	230	1415
140	231	1408
141	231	1399
142	232	1391
143	232	1383
144	233	1376
145	234	1368
146	234	1361
147	235	1354
148	235	1346
149	236	1339
150	237	1332
151	237	1326
152	238	1319
153	238	1312
154	239	1305
155	240	1298
156	240	1292
157	241	1285
158	241	1279
159	242	1272
160	242	1265
161	243	1259
162	244	1253
163	244	1247
164	245	1241
165	245	1235
166	246	1229
167	247	1223
168	247	1217
169	248	1212
170	248	1207
171	249	1201
172	250	1196
173	250	1191
174	251	1185
175	252	1180
176	252	1174
177	253	1169
178	253	1164
179	254	1158
180	254	1153
181	255	1148
182	256	1143
183	256	1138
184	257	1133
185	257	1129
186	258	1124
187	259	1119
188	259	1114
189	260	1110
190	261	1105
191	261	1100
192	262	1096
193	263	1092
194	263	1088
195	264	1083
196	264	1079
197	265	1075
198	265	1070
199	266	1066
200	267	1062
201	267	1057
202	268	1054
203	269	1050
204	269	1045
205	270	1041
206	270	1037
207	271	1033
208	272	1029
209	272	1025
210	273	1022
211	273	1018
212	274	1014
213	275	1010
214	275	1006
215	276	1003
216	277	1000
217	277	996
218	278	993
219	279	990
220	279	986
221	280	983
222	281	979
223	281	976
224	282	972
225	282	968
226	283	965
227	284	961
228	284	958
229	285	955
230	285	951
231	286	948
232	287	945
233	287	941
234	288	938
235	288	935
236	289	932
237	290	928
238	290	925
239	291	923
240	292	920
241	292	917
242	293	914
243	294	911
244	294	908
245	295	905
246	295	902
247	296	899
248	297	896
249	297	893
250	298	890
251	298	887
252	299	884
253	300	881
254	300	878
255	301	876
256	302	873
257	302	870
258	303	867
259	303	865
260	304	862
261	305	859
262	305	857
263	306	854
264	307	851
265	307	849
266	308	846
267	308	843
268	309	841
269	310	838
270	310	836
271	311	833
272	312	831
273	312	828
274	313	825
275	313	823
276	314	820
277	315	818
278	315	815
279	316	813
280	316	810
281	317	808
282	318	806
283	318	803
284	319	801
285	320	799
286	320	796
287	321	794
288	321	792
289	322	789
290	323	787
291	323	784
292	324	782
293	324	780
294	325	777
295	326	775
296	326	773
297	327	771
298	327	768
299	328	766
300	329	764
301	329	762
302	330	760
303	331	757
304	331	755
305	332	753
306	332	751
307	333	749
308	334	747
309	334	745
310	335	743
311	336	741
312	336	739
313	337	737
314	338	735
315	338	733
316	339	731
317	339	729
318	340	727
319	341	724
320	341	722
321	342	720
322	342	718
323	343	716
324	344	714
325	344	712
326	345	710
327	346	708
328	346	707
329	347	704
330	347	703
331	348	701
332	349	699
333	349	697
334	350	695
335	351	693
336	351	692
337	352	690
338	352	688
339	353	686
340	354	684
341	354	682
342	355	681
343	356	679
344	356	677
345	357	675
346	358	673
347	358	671
348	359	669
349	359	668
350	360	666
351	360	664
352	361	662
353	362	661
354	362	659
355	363	657
356	364	655
357	364	654
358	365	652
359	365	650
360	366	648
361	367	647
362	367	645
363	368	643
364	368	641
365	369	640
366	370	638
367	370	636
368	371	635
369	372	633
370	372	631
371	373	630
372	373	628
373	374	626
374	375	625
375	375	623
376	377	623
377	377	621
378	378	620
379	379	618
380	379	616
381	380	615
382	380	613
383	381	612
384	382	610
385	382	608
386	383	607
387	383	605
388	384	603
389	385	602
390	385	600
391	386	599
392	386	597
393	387	596
394	388	594
395	388	592
396	389	591
397	389	589
398	390	588
399	391	586
400	391	585
401	392	583
402	393	582
403	393	580
404	394	579
405	394	577
406	395	576
407	395	574
408	396	572
409	397	571
410	397	569
411	398	568
412	398	567
413	399	565
414	400	564
415	400	562
416	401	561
417	402	559
418	402	558
419	403	556
420	403	555
421	404	553
422	405	552
423	405	551
424	406	550
425	407	548
426	407	547
427	408	545
428	408	544
429	409	542
430	410	541
431	410	540
432	411	538
433	412	537
434	412	535
435	413	534
436	413	533
437	414	531
438	415	530
439	415	528
440	416	527
441	416	526
442	417	524
443	418	523
444	418	522
445	419	520
446	419	519
447	420	518
448	421	516
449	421	515
450	422	514
451	422	512
452	423	511
453	424	510
454	424	508
455	425	507
456	425	505
457	426	504
458	427	503
459	427	502
460	428	500
461	428	499
462	429	498
463	430	496
464	430	495
465	431	494
466	431	493
467	432	491
468	433	490
469	433	489
470	434	488
471	435	486
472	435	485
473	436	484
474	437	483
475	437	481
476	438	480
477	438	479
478	439	477
479	439	476
480	440	475
481	441	474
482	441	472
483	442	471
484	443	470
485	443	469
486	444	467
487	444	466
488	445	465
489	446	464
490	446	463
491	447	461
492	448	460
493	448	459
494	449	458
495	449	457
496	450	455
497	450	454
498	451	453
499	452	452
500	452	450
501	453	449
502	454	448
503	454	447
504	455	446
505	455	445
506	456	443
507	457	442
508	457	441
509	458	440
510	458	439
511	459	437
512	460	436
513	460	435
514	461	434
515	462	433
516	462	432
517	463	431
518	463	429
519	464	428
520	465	427
521	465	426
522	466	425
523	466	424
524	467	423
525	468	421
526	468	420
527	469	419
528	469	418
529	470	417
530	471	416
531	471	415
532	472	413
533	473	412
534	473	411
535	474	410
536	474	409
537	475	408
538	476	407
539	476	406
540	477	404
541	477	403
542	478	402
543	479	401
544	479	400
545	480	399
546	480	398
547	481	397
548	481	395
549	482	394
550	483	393
551	483	392
552	484	391
553	485	390
554	485	389
555	486	388
556	486	387
557	487	386
558	488	385
559	488	383
560	489	382
561	489	381
562	490	380
563	491	379
564	492	378
565	492	377
566	493	376
567	493	375
568	494	374
569	495	373
570	495	372
571	496	371
572	496	370
573	497	369
574	498	368
575	498	367
576	499	366
577	500	365
578	500	364
579	501	363
580	501	361
581	502	360
582	503	359
583	504	359
584	504	358
585	505	357
586	506	356
587	506	355
588	507	354
589	508	353
590	509	352
591	509	351
592	510	350
593	511	349
594	513	349
595	514	348
596	515	347
597	516	347
598	517	346
599	518	345
600	519	345
601	520	344
602	521	343
603	522	342
604	523	341
605	524	340
606	525	340
607	526	339
608	527	338
609	527	337
610	529	336
611	530	336
612	531	335
613	532	334
614	533	333
615	534	332
616	535	332
617	535	331
618	536	330
619	537	329
620	538	328
621	539	327
622	539	326
623	540	325
624	541	325
625	542	324
626	543	323
627	544	322
628	545	321
629	545	320
630	547	320
631	548	319
632	549	318
633	550	317
634	551	316
635	552	315
636	552	315
637	553	314
638	554	313
639	555	312
640	556	311
641	556	310
642	557	309
643	558	308
644	559	307
645	560	306
646	560	306
647	561	305
648	562	304
649	563	303
650	563	302
651	567	302
652	568	302
653	569	301
654	570	300
655	572	299
656	573	299
657	573	298
658	574	297
659	575	296
660	575	295
661	576	294
662	577	293
663	578	292
664	578	291
665	579	290
666	580	289
667	580	288
668	581	287
669	582	286
670	583	286
671	584	285
672	585	284
673	585	283
674	586	282
675	587	281
676	588	280
677	589	279
678	590	278
679	590	277
680	591	277
681	592	276
682	592	275
683	593	274
684	594	273
685	595	272
686	596	271
687	597	271
688	598	270
689	598	269
690	599	268
691	600	267
692	600	266
693	601	265
694	602	264
695	603	263
696	603	262
697	604	261
698	604	260
699	605	259
700	606	258
701	606	257
702	607	256
703	608	255
704	609	254
705	609	253
706	610	252
707	611	251
708	611	251
709	612	250
710	612	249
711	613	248
712	614	247
713	615	246
714	616	245
715	617	244
716	617	243
717	618	242
718	619	242
719	619	241
720	621	240
721	622	239
722	623	238
723	623	237
724	624	236
725	625	235
726	626	235
727	627	234
728	628	233
729	629	232
730	630	231
731	630	231
732	631	230
733	633	229
734	634	228
735	634	227
736	635	226
737	636	225
738	637	225
739	637	224
740	640	223
741	641	222
742	641	222
743	642	221
744	643	220
745	644	219
746	645	218
747	647	218
748	648	217
749	648	216
750	649	215
751	650	214
752	651	213
753	652	212
754	653	212
755	654	211
756	655	210
757	657	209
758	658	208
759	659	208
760	660	207
761	660	206
762	662	205
763	665	205
764	665	204
765	666	203
766	667	202
767	667	201
768	668	200
769	669	199
770	671	199
771	672	198
772	672	197
773	673	196
774	674	195
775	675	194
776	677	194
777	678	193
778	679	192
779	679	191
780	680	190
781	681	189
782	682	189
783	683	188
784	683	187
785	684	186
786	685	185
787	686	184
788	686	183
789	687	182
790	688	181
791	689	180
792	689	180
793	690	179
794	691	178
795	691	177
796	692	176
797	693	175
798	693	174
799	694	173
800	695	172
801	696	171
802	697	171
803	697	170
804	699	169
805	700	168
806	701	167
807	702	166
808	703	166
809	704	165
810	705	164
811	705	163
812	706	162
813	707	161
814	708	160
815	708	159
816	709	158
817	710	158
818	710	157
819	711	156
820	712	155
821	713	154
822	714	153
823	714	152
824	715	151
825	716	150
826	716	149
827	717	149
828	718	148
829	718	147
830	719	146
831	720	145
832	721	144
833	722	143
834	722	142
835	723	141
836	724	141
837	725	140
838	726	139
839	727	138
840	728	137
841	728	136
842	729	135
843	730	134
844	730	134
845	731	133
846	732	132
847	732	131
848	733	130
849	734	129
850	734	128
851	735	127
852	735	126
853	736	125
854	737	125
855	738	124
856	738	123
857	739	122
858	740	121
859	740	120
860	741	119
861	742	118
862	743	117
863	743	117
864	744	116
865	745	115
866	745	114
867	746	113
868	747	112
869	747	111
870	748	110
871	749	109
872	749	109
873	750	108
874	751	107
875	752	106
876	752	105
877	753	104
878	754	103
879	755	102
880	756	102
881	757	101
882	757	100
883	758	99
884	758	98
885	759	97
886	760	96
887	761	96
888	762	95
889	763	94
890	763	93
891	764	92
892	765	91
893	765	90
894	766	89
895	767	89
896	767	88
897	768	87
898	768	86
899	769	85
900	770	84
901	770	83
902	771	82
903	772	81
904	772	81
905	773	80
906	773	79
907	774	78
908	775	77
909	775	76
910	776	75
911	776	74
912	777	74
913	778	73
914	778	72
915	779	71
916	780	70
917	780	69
918	781	68
919	781	67
920	782	67
921	783	66
922	783	65
923	784	64
924	785	63
925	785	62
926	786	61
927	786	61
928	787	60
929	788	59
930	788	58
931	789	57
932	790	56
933	790	55
934	791	55
935	791	54
936	792	53
937	793	52
938	793	51
939	794	50
940	795	49
941	795	48
942	796	48
943	797	47
944	797	46
945	798	45
946	799	44
947	800	43
948	800	43
949	801	42
950	802	41
951	802	40
952	803	39
953	803	38
954	804	37
955	805	37
956	805	36
957	806	35
958	807	34
959	807	33
960	808	32
961	809	31
962	809	31
963	810	30
964	810	29
965	811	28
966	812	27
967	812	26
968	813	26
969	814	25
970	814	24
971	815	23
972	816	22
973	817	21
974	817	20
975	818	20
976	819	19
977	819	18
978	820	17
979	821	16
980	821	15
981	822	15
982	823	14
983	823	13
984	824	12
985	824	11
986	825	10
987	826	10
988	826	9
989	827	8
990	828	7
