iter	Passed	Remaining
0	167	167139
1	168	84080
2	169	56295
3	170	42429
4	172	34253
5	174	28842
6	175	24828
7	175	21817
8	176	19477
9	178	17647
10	179	16104
11	180	14824
12	181	13745
13	182	12818
14	182	12011
15	183	11311
16	184	10683
17	185	10126
18	187	9681
19	188	9239
20	189	8835
21	190	8483
22	191	8145
23	192	7833
24	193	7548
25	194	7283
26	195	7040
27	196	6815
28	197	6605
29	198	6430
30	199	6247
31	200	6073
32	201	5907
33	203	5774
34	204	5627
35	205	5491
36	205	5358
37	206	5236
38	207	5122
39	209	5026
40	210	4920
41	211	4816
42	211	4715
43	212	4625
44	216	4585
45	217	4511
46	218	4430
47	219	4359
48	220	4284
49	222	4225
50	223	4155
51	224	4086
52	225	4020
53	226	3963
54	227	3914
55	228	3859
56	229	3802
57	230	3747
58	232	3703
59	233	3662
60	234	3615
61	235	3566
62	236	3520
63	237	3479
64	239	3448
65	240	3407
66	241	3363
67	242	3322
68	243	3284
69	244	3249
70	246	3223
71	247	3186
72	248	3150
73	249	3116
74	250	3084
75	251	3055
76	252	3024
77	253	2991
78	253	2960
79	254	2928
80	255	2902
81	257	2881
82	257	2848
83	258	2820
84	259	2793
85	260	2767
86	261	2740
87	262	2715
88	263	2692
89	263	2667
90	264	2642
91	265	2620
92	266	2597
93	267	2573
94	267	2552
95	269	2535
96	270	2514
97	271	2494
98	271	2474
99	272	2454
100	273	2434
101	274	2416
102	275	2399
103	276	2382
104	277	2363
105	278	2345
106	278	2327
107	279	2309
108	280	2292
109	281	2276
110	282	2260
111	283	2243
112	283	2228
113	284	2213
114	285	2197
115	286	2182
116	287	2166
117	287	2151
118	288	2136
119	289	2121
120	290	2107
121	290	2092
122	291	2078
123	292	2065
124	293	2052
125	294	2040
126	294	2026
127	295	2013
128	296	2001
129	297	1990
130	298	1979
131	299	1967
132	300	1958
133	301	1947
134	302	1936
135	303	1925
136	303	1914
137	304	1904
138	305	1894
139	306	1884
140	307	1874
141	308	1862
142	309	1852
143	309	1841
144	310	1832
145	312	1826
146	313	1816
147	314	1807
148	314	1797
149	315	1788
150	316	1780
151	317	1772
152	318	1763
153	319	1754
154	320	1746
155	321	1738
156	322	1729
157	323	1724
158	325	1721
159	326	1713
160	327	1704
161	327	1696
162	328	1688
163	329	1680
164	330	1672
165	331	1664
166	332	1658
167	333	1652
168	334	1644
169	335	1637
170	336	1630
171	337	1622
172	337	1615
173	338	1609
174	340	1603
175	340	1595
176	341	1589
177	343	1584
178	343	1576
179	344	1570
180	345	1565
181	346	1558
182	347	1551
183	348	1545
184	349	1539
185	350	1532
186	351	1527
187	352	1521
188	353	1514
189	353	1508
190	354	1502
191	355	1496
192	356	1489
193	356	1483
194	357	1477
195	358	1470
196	359	1464
197	360	1458
198	361	1453
199	361	1447
200	362	1441
